Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Investor,Founders
ProEves,Preschool Daycare,Seed Round,"$507,000 ",Delhi,"Provides tech-enabled, end-to-end childcare support solutions for corporate and retail consumers",2016,1Crowd,"Divya Agarwal, Ketika Kapoor"
Universal Sportsbiz,Fashion,,"$530,000 ",Bangalore,Indian fashion industry with on-trend products,2012,NB Ventures,Anjana Reddy
Tummoc,Mobility,Seed,"$540,000 ",Bangalore,Tummoc helps track and find actionable & accurate bus/metro/suburban rail intracity travel information.,2016,"Vineet Singh, Krishna D, Deependra Bisht, Alan Aim","Hiranmay Mallick, Monalisha Thakur, Narayan Mishra"
GullyBuy Software,Tech Startup,Pre-series A,"$543,000 ",Pune,To deliver a solution that will provide shopping convenience to every consumer in India,2019,,Shirish Deodhar
Gradeup,Education,,"$546,000 ",Noida,"India's largest exam preparation destination,",2015,"Times Internet, TLabs",Shobhit Bhatnagar
Mate Labs,"Artificial Intelligence, Machine Learning, PaaS",Seed,550000,"Bangalore, Karnataka, India",Mate Labs is a machine learning solutions platform for beginners., , , 
Kolo,Construction,Pre-seed,"$550,000 ",Bangalore,Home construction app for finding ideas and service providers near you,2020,Better Capital,"Pranav Garg, Jery Althaf"
Callify.ai,Tech Startup,Seed,"$560,000 ",Mumbai,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,2016,Malpani Ventures,"Chetan Indap, Sunny Sharma, Deepanti Kavi"
Codingal,EdTech,Seed,"$560,000 ",Bangalore,Coding education platform for K-12 students,2020,"Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.","Satyam Baranwal, Vivek Prakash"
D’Moksha Homes,Textiles,Seed,"$570,000 ",Mumbai,"Artisans handcraft exquisite and environment-friendly home linens using only the most sustainable fabrics like linen, hemp, and lyocell.",2020,"Apoorva Sharma, The Chennai Angels, Karthik Bhat","Nimisha, Manav Dhanda"
Kaagaz Scanner,Scanning app,,"$575,000 ",,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020,Pravega Ventures,"Snehanshu Gandhi, Gaurav Shrishrimal"
GoBumpr,"Automotive, E-Commerce, Mobile",Seed,600000,"Mylapore, Tamil Nadu, India",Car Service and Bike Service Mobile App, , , 
Tripeur,Information Technology,Seed,600000,"Bengaluru, Karnataka, India",Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software, , , 
Nivesh.com,Mutual Funds,,"$600,000 ",Noida,The platform simplifies the process of investment,2016,Windrose Capital,"Anurag Garg, Sridhar Srinivasan"
qZense,AgriTech,Seed,"$600,000 ",Bangalore,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,2019,"Venture Catalysts, 9Unicorns Accelerator Fund","Rubal Chib, Dr Srishti Batra"
MyClassboard,EdTech,Pre-series A,"$600,000 ",Hyderabad,MyClassboard is a full-fledged School / College Management Software.,2008,ICICI Bank.,Ajay Sakhamuri
